res_7,num_shops
87190b355ffffff,0
87195e623ffffff,0
8719728d5ffffff,0
87195b792ffffff,0
87192b2b4ffffff,0
8719584d3ffffff,0
871958060ffffff,0
87195c033ffffff,0
87190b344ffffff,0
871951802ffffff,0
87192b3a8ffffff,0
871940d80ffffff,0
871958aa1ffffff,0
871976c94ffffff,0
871801ba1ffffff,0
871823899ffffff,0
871828a31ffffff,0
871942399ffffff,0
87194372dffffff,0
87194a443ffffff,0
87194a811ffffff,0
87194ad6cffffff,0
87194e2c2ffffff,0
87195130dffffff,0
87195246dffffff,0
871955260ffffff,0
87195985bffffff,0
87195a842ffffff,0
87195b78affffff,0
871973adeffffff,0
871820845ffffff,0
87192b655ffffff,0
87194e153ffffff,0
87195c0edffffff,0
87195c261ffffff,0
871958721ffffff,0
8719526c9ffffff,0
871821aeeffffff,0
87182e585ffffff,0
871909a64ffffff,0
87194ad44ffffff,0
871909c86ffffff,0
8719424dcffffff,0
87194e774ffffff,0
871942d08ffffff,0
871943642ffffff,0
87182a313ffffff,0
87194e6e1ffffff,0
8719510e0ffffff,0
871959725ffffff,0
871825061ffffff,0
8718250abffffff,0
871825a88ffffff,0
87187465effffff,0
871874832ffffff,0
871940715ffffff,0
871941040ffffff,0
87194238dffffff,0
871942c64ffffff,0
87194a4d9ffffff,0
87195282cffffff,0
871955904ffffff,0
8719566d9ffffff,0
871958a5bffffff,0
871959443ffffff,0
871959b91ffffff,0
87195a411ffffff,0
87195d51dffffff,0
87195eb20ffffff,0
87197321cffffff,0
871973272ffffff,0
871973729ffffff,0
8719422ceffffff,0
871943361ffffff,0
8719569a0ffffff,0
871958470ffffff,0
871941729ffffff,0
8719591a6ffffff,0
871942918ffffff,0
87195998bffffff,0
871951ab6ffffff,0
871952c61ffffff,0
871825603ffffff,0
871909370ffffff,0
87194a716ffffff,0
871958799ffffff,0
871972c43ffffff,0
87182a3aeffffff,0
87182d274ffffff,0
87192b328ffffff,0
871942094ffffff,0
87194335effffff,0
87194ad66ffffff,0
87194c49dffffff,0
87194e020ffffff,0
87194e382ffffff,0
8719532caffffff,0
871958553ffffff,0
87195c302ffffff,0
87195d205ffffff,0
87195d815ffffff,0
87195da9effffff,0
8719724c0ffffff,0
871976285ffffff,0
